molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
7540,MOL007540,lxx_sr_Molecule1834_qt.mol2,amomumoside_qt,75.7931575166,170.280,0.806,0.49052,0.13493,11.5078,2,2,0.062218,0.22070056
7541,MOL007541,lxx_sr_Molecule1835.mol2,cis-isoascaridole,72.0609527789,168.260,3.095,1.30391,1.61909,10.7727,0,2,0.054958,0.30719581
7542,MOL007542,lxx_sr_Molecule1842.mol2,camphorene,3.09629263688,272.520,7.156,1.93563,1.99356,,0,0,0.12524,0.26955235
7543,MOL007543,lxx_sr_Molecule1848.mol2,cis-9-Hexadecenal,31.708814111,238.460,5.970,1.50204,1.35787,6.446104,0,1,0.080368,0.20268011
7544,MOL007544,lxx_sr_Molecule1861.mol2,isospathulenol,83.3777171238,220.390,3.007,1.24682,1.28757,11.811052,1,1,0.1221,0.26950115
7545,MOL007545,lxx_sr_Molecule1862.mol2,lanceol,37.5379023312,220.390,4.239,1.28063,1.26458,4.956187,1,1,0.068291,0.25541493
7546,MOL007546,lxx_sr_Molecule1879.mol2,2H-pyran,50.7668246363,82.110,0.272,1.43596,1.93879,11.8184,0,1,0.0065737,0.2809895
7547,MOL007547,lxx_sr_Molecule1880.mol2,2-Pyrol,15.2675728173,85.120,-0.371,0.98273,1.35029,,1,2,0.0069558,0.20999882
7548,MOL007548,lxx_sr_Molecule1883.mol2,"(1S,4aS,8aS)-7-isopropyl-1,4a-dimethyl-2,3,4,5,6,8a-hexahydronaphthalen-1-ol",37.0356524553,222.410,3.733,1.25805,1.36600,9.240327,1,1,0.096459,0.24161582
7549,MOL007549,lxx_sr_Molecule1887.mol2,alpha-Thymidine,10.394174414,242.260,-1.238,-0.63766,-1.07482,,3,7,0.1068,0.26343518
7550,MOL007550,lxx_sr_Molecule1891.mol2,trans-limonene oxide,43.2493913496,152.260,2.269,1.52847,1.80030,11.191376,0,1,0.045329,0.30345243
7551,MOL007551,lxx_sr_Molecule1903.mol2,α-santalene,17.7566077061,204.390,4.123,1.83949,2.06552,,0,0,0.11164,0.26466501
7552,MOL007552,lxx_sr_Molecule1909.mol2,β-calacorene,18.5344626709,200.350,4.845,1.90594,2.04709,,0,0,0.078272,0.33829585
7553,MOL007553,lxx_sr_Molecule1910.mol2,(-)-beta-Fenchol,79.2410095645,154.280,2.110,1.30250,1.59933,11.1878,1,1,0.050454,0.22570519
7554,MOL007554,lxx_sr_Molecule1911.mol2,"(1S,2R,4R)-2-methyl-3-methylene-2-(4-methylpent-3-enyl)norbornane",17.1178808847,204.390,4.753,1.85121,1.98329,,0,0,0.074797,0.28221461
7555,MOL007555,lxx_sr_Molecule1921.mol2,"(1R,4R,5S)-1-isopropyl-4-methyl-3-bicyclo[3.1.0]hexanone",73.5935918733,152.260,1.771,1.30310,1.66566,11.2466,0,1,0.051574,0.28835562
7556,MOL007556,lxx_sr_Molecule1923.mol2,gamma-Terpinyl acetate,31.8236507776,196.320,2.989,1.34205,1.54490,2.657971,0,2,0.052099,0.23908217
7557,MOL007557,lxx_sr_Molecule1925.mol2,γ-gurjunene,29.5774003608,204.390,4.799,1.82883,2.08435,,0,0,0.072039,0.25181964
860,MOL000860,fyp_zx_Molecule426.mol2,stearic acid,17.8254293816,284.540,7.280,1.14557,1.22356,,1,2,0.14086,0.18716544
911,MOL000911,hc_ez_Molecule41.mol2,Terpilene,33.9507990432,136.260,3.449,1.83657,2.09712,11.0518,0,0,0.022228,0.27342772
913,MOL000913,hc_ez_Molecule45.mol2,tricyclene,36.1127033198,136.260,2.297,1.79798,2.21610,11.3585,0,0,0.072664,0.25032812
927,MOL000927,hc_ez_Molecule74.mol2,α-muurolene,17.2436817936,204.390,4.745,1.88422,2.08836,,0,0,0.077298,0.24611644
934,MOL000934,hc_ez_Molecule83.mol2,β-seisquiphellandrene,7.45737530082,204.390,5.135,1.90805,2.04578,,0,0,0.055641,0.30006534
936,MOL000936,hc_ez_Molecule85.mol2,Germacrene B,18.6917515601,204.390,5.470,1.88509,2.06656,,0,0,0.056943,0.28876844
937,MOL000937,hc_ez_Molecule87.mol2,58870_FLUKA,49.0105978235,204.390,4.364,1.82227,2.07917,12.470968,0,0,0.1039,0.22162248
938,MOL000938,hc_ez_Molecule88.mol2,calarene,51.5525319413,204.390,4.123,1.81530,2.04546,-1.1929,0,0,0.11398,0.23287821
968,MOL000968,hc_jh_Molecule48.mol2,beta-Bisabolene,29.5896617082,204.390,5.329,1.88139,2.13097,,0,0,0.055235,0.29021567
983,MOL000983,hc_my_Molecule120.mol2,n-Triacontanol,10.4599594281,438.920,12.832,1.53065,0.79045,,1,1,0.45146,0.13289769
